날짜,종가,오픈,고가,저가,거래량,변동 %
2010-01-01,1158.90,"1,163.27","1,166.70","1,115.10",,-0.62%
2010-02-01,1160.00,"1,160.30","1,177.90","1,140.80",,0.09%
2010-03-01,1132.80,"1,158.00","1,160.80","1,126.80",,-2.34%
2010-04-01,1108.50,"1,130.40","1,131.40","1,103.00",,-2.15%
2010-05-01,1202.12,"1,108.90","1,276.90","1,107.81",,8.45%
2010-06-01,1223.25,"1,204.15","1,272.55","1,170.05",,1.76%
2010-07-01,1182.75,"1,226.65","1,239.45","1,180.95",,-3.31%
2010-08-01,1199.00,"1,181.60","1,201.20","1,156.40",,1.37%
2010-09-01,1140.25,"1,198.15","1,199.15","1,138.15",,-4.90%
2010-10-01,1124.50,"1,139.00","1,143.40","1,107.40",,-1.38%
2010-11-01,1157.00,"1,120.30","1,171.90","1,103.95",,2.89%
2010-12-01,1120.50,"1,157.00","1,173.10","1,119.50",,-3.15%
2011-01-01,1119.25,"1,120.50","1,132.38","1,108.10",,-0.11%
2011-02-01,1124.65,"1,119.00","1,136.43","1,099.95",,0.48%
2011-03-01,1095.50,"1,124.65","1,144.95","1,094.10",,-2.59%
2011-04-01,1068.00,"1,098.00","1,099.15","1,068.50",,-2.51%
2011-05-01,1078.00,"1,069.80","1,101.90","1,064.00",,0.94%
2011-06-01,1066.30,"1,076.90","1,092.10","1,066.40",,-1.09%
2011-07-01,1054.00,"1,066.80","1,069.00","1,048.57",,-1.15%
2011-08-01,1064.90,"1,051.80","1,096.50","1,048.20",,1.03%
2011-09-01,1180.90,"1,066.40","1,198.70","1,060.20",,10.89%
2011-10-01,1111.85,"1,180.00","1,208.25","1,100.00",,-5.85%
2011-11-01,1140.05,"1,111.85","1,164.95","1,109.95",,2.54%
2011-12-01,1158.50,"1,140.05","1,180.00","1,122.60",,1.62%
2012-01-01,1125.45,"1,158.50","1,166.70","1,120.05",,-2.85%
2012-02-01,1118.80,"1,125.45","1,135.00","1,114.50",,-0.59%
2012-03-01,1131.40,"1,118.80","1,142.10","1,111.65",,1.13%
2012-04-01,1129.55,"1,135.82","1,147.40","1,121.45",,-0.16%
2012-05-01,1179.87,"1,128.80","1,186.38","1,125.28",,4.45%
2012-06-01,1140.72,"1,180.47","1,184.04","1,140.51",,-3.32%
2012-07-01,1130.27,"1,141.30","1,157.20","1,129.85",,-0.92%
2012-08-01,1133.19,"1,130.67","1,138.10","1,123.90",,0.26%
2012-09-01,1113.07,"1,133.79","1,136.86","1,110.47",,-1.78%
2012-10-01,1089.92,"1,113.27","1,117.53","1,089.55",,-2.08%
2012-11-01,1081.50,"1,090.32","1,093.47","1,080.20",,-0.77%
2012-12-01,1063.24,"1,082.50","1,084.75","1,063.18",,-1.69%
2013-01-01,1087.31,"1,066.25","1,093.90","1,054.47",,2.26%
2013-02-01,1083.90,"1,088.26","1,098.47","1,076.18",,-0.31%
2013-03-01,1111.05,"1,084.35","1,120.10","1,082.13",,2.50%
2013-04-01,1101.16,"1,111.35","1,145.10","1,100.25",,-0.89%
2013-05-01,1130.51,"1,101.61","1,133.95","1,082.45",,2.67%
2013-06-01,1141.45,"1,131.26","1,163.59","1,107.20",,0.97%
2013-07-01,1123.25,"1,142.40","1,152.82","1,108.47",,-1.59%
2013-08-01,1109.42,"1,123.70","1,127.72","1,107.50",,-1.23%
2013-09-01,1073.58,"1,110.02","1,110.02","1,070.25",,-3.23%
2013-10-01,1060.83,"1,074.53","1,077.00","1,054.28",,-1.19%
2013-11-01,1057.76,"1,061.28","1,074.40","1,054.70",,-0.29%
2013-12-01,1049.50,"1,058.21","1,064.45","1,046.09",,-0.78%
2014-01-01,1080.36,"1,051.50","1,087.70","1,048.35",,2.94%
2014-02-01,1066.01,"1,080.55","1,089.85","1,058.20",,-1.33%
2014-03-01,1064.65,"1,073.40","1,083.10","1,060.05",,-0.13%
2014-04-01,1032.75,"1,061.80","1,062.50","1,030.08",,-3.00%
2014-05-01,1020.30,"1,031.10","1,032.65","1,018.35",,-1.21%
2014-06-01,1011.50,"1,020.90","1,026.25","1,010.80",,-0.86%
2014-07-01,1027.75,"1,011.75","1,036.50","1,008.25",,1.61%
2014-08-01,1013.85,"1,032.45","1,041.40","1,012.90",,-1.35%
2014-09-01,1054.55,"1,014.15","1,057.55","1,012.15",,4.01%
2014-10-01,1072.60,"1,057.55","1,076.35","1,044.29",,1.71%
2014-11-01,1112.45,"1,078.62","1,117.96","1,071.80",,3.72%
2014-12-01,1092.90,"1,113.29","1,122.42","1,078.70",,-1.76%
2015-01-01,1101.40,"1,093.90","1,112.12","1,073.31",,0.78%
2015-02-01,1100.53,"1,101.15","1,116.15","1,083.66",,-0.08%
2015-03-01,1107.99,"1,102.05","1,139.11","1,094.29",,0.68%
2015-04-01,1076.34,"1,108.99","1,109.50","1,063.30",,-2.86%
2015-05-01,1112.01,"1,077.34","1,115.54","1,075.86",,3.31%
2015-06-01,1119.03,"1,113.35","1,128.40","1,097.40",,0.63%
2015-07-01,1165.67,"1,119.41","1,175.14","1,115.14",,4.17%
2015-08-01,1181.82,"1,167.15","1,208.37","1,155.69",,1.39%
2015-09-01,1184.44,"1,182.97","1,209.18","1,158.06",,0.22%
2015-10-01,1140.16,"1,185.28","1,185.88","1,119.34",,-3.74%
2015-11-01,1159.61,"1,140.66","1,175.78","1,127.15",,1.71%
2015-12-01,1174.95,"1,160.59","1,192.05","1,152.02",,1.32%
2016-01-01,1207.11,"1,175.94","1,221.42","1,175.09",,2.74%
2016-02-01,1237.24,"1,208.11","1,246.00","1,181.12",,2.50%
2016-03-01,1143.97,"1,238.24","1,239.49","1,134.59",,-7.54%
2016-04-01,1143.83,"1,144.97","1,163.60","1,124.09",,-0.01%
2016-05-01,1188.39,"1,145.10","1,194.58","1,132.83",,3.90%
2016-06-01,1150.99,"1,189.74","1,196.15","1,140.67",,-3.15%
2016-07-01,1110.89,"1,152.34","1,169.30","1,110.78",,-3.48%
2016-08-01,1115.29,"1,111.45","1,128.96","1,089.35",,0.40%
2016-09-01,1100.91,"1,116.30","1,134.24","1,086.06",,-1.29%
2016-10-01,1141.73,"1,101.80","1,149.74","1,098.95",,3.71%
2016-11-01,1176.39,"1,142.73","1,187.36","1,127.81",,3.04%
2016-12-01,1206.25,"1,177.80","1,214.82","1,156.40",,2.54%
2017-01-01,1150.65,"1,206.85","1,212.45","1,147.79",,-4.61%
2017-02-01,1136.39,"1,151.66","1,159.15","1,124.38",,-1.24%
2017-03-01,1116.65,"1,137.80","1,161.67","1,106.47",,-1.74%
2017-04-01,1136.87,"1,116.90","1,150.36","1,111.53",,1.81%
2017-05-01,1118.65,"1,137.74","1,141.84","1,113.69",,-1.60%
2017-06-01,1144.43,"1,119.65","1,148.98","1,115.15",,2.30%
2017-07-01,1118.40,"1,145.60","1,158.72","1,110.23",,-2.27%
2017-08-01,1123.85,"1,119.40","1,148.58","1,115.38",,0.49%
2017-09-01,1144.29,"1,124.85","1,151.69","1,118.04",,1.82%
2017-10-01,1117.42,"1,145.13","1,149.68","1,116.04",,-2.35%
2017-11-01,1087.13,"1,118.42","1,122.38","1,074.71",,-2.71%
2017-12-01,1066.37,"1,088.14","1,097.08","1,063.94",,-1.91%
2018-01-01,1069.08,"1,067.38","1,077.85","1,055.67",,0.25%
2018-02-01,1084.21,"1,070.12","1,099.04","1,061.85",,1.42%
2018-03-01,1060.25,"1,085.21","1,088.32","1,060.47",,-2.21%
2018-04-01,1069.33,"1,060.56","1,084.95","1,052.78",,0.86%
2018-05-01,1079.59,"1,070.45","1,087.59","1,064.14",,0.96%
2018-06-01,1113.91,"1,080.59","1,126.10","1,065.78",,3.18%
2018-07-01,1112.25,"1,115.01","1,141.11","1,109.25",,-0.15%
2018-08-01,1115.46,"1,113.25","1,138.89","1,104.08",,0.29%
2018-09-01,1109.98,"1,115.65","1,131.77","1,107.14",,-0.49%
2018-10-01,1141.02,"1,110.00","1,147.18","1,108.39",,2.80%
2018-11-01,1119.44,"1,142.03","1,142.76","1,110.83",,-1.89%
2018-12-01,1113.30,"1,120.56","1,135.65","1,103.93",,-0.55%
2019-01-01,1111.40,"1,114.30","1,134.65","1,108.54",,-0.17%
2019-02-01,1124.60,"1,112.40","1,130.89","1,110.73",,1.19%
2019-03-01,1136.10,"1,125.95","1,140.36","1,123.36",,1.02%
2019-04-01,1163.25,"1,137.02","1,169.69","1,130.82",,2.39%
2019-05-01,1187.80,"1,164.25","1,197.09","1,160.21",,2.11%
2019-06-01,1155.38,"1,188.80","1,191.20","1,151.89",,-2.73%
2019-07-01,1187.32,"1,156.43","1,189.35","1,148.70",,2.76%
2019-08-01,1209.50,"1,188.32","1,224.55","1,185.88",,1.87%
2019-09-01,1198.09,"1,209.77","1,217.50","1,175.31",,-0.94%
2019-10-01,1169.24,"1,199.09","1,207.89","1,159.17",,-2.41%
2019-11-01,1180.70,"1,170.24","1,182.76","1,152.73",,0.98%
2019-12-01,1154.07,"1,181.42","1,196.20","1,152.94",,-2.26%
2020-01-01,1194.97,"1,155.07","1,198.55","1,150.30",,3.54%
2020-02-01,1200.20,"1,195.96","1,222.96","1,176.06",,0.44%
2020-03-01,1218.30,"1,200.21","1,292.93","1,178.81",,1.51%
2020-04-01,1212.94,"1,218.80","1,243.29","1,203.52",,-0.44%
2020-05-01,1231.49,"1,213.94","1,244.89","1,213.10",,1.53%
2020-06-01,1199.28,"1,231.47","1,232.19","1,184.24",,-2.62%
2020-07-01,1193.59,"1,199.44","1,208.74","1,186.27",,-0.47%
2020-08-01,1187.94,"1,194.10","1,197.12","1,176.04",,-0.47%
2020-09-01,1164.65,"1,188.07","1,193.21","1,156.46",,-1.96%
2020-10-01,1136.49,"1,164.75","1,168.28","1,124.69",,-2.42%
2020-11-01,1109.32,"1,136.60","1,147.82","1,101.61",,-2.39%
2020-12-01,1084.47,"1,109.82","1,112.74","1,080.39",,-2.24%
2021-01-01,1117.64,"1,085.69","1,121.76","1,080.02",,3.06%
2021-02-01,1123.89,"1,118.43","1,130.33","1,096.91",,0.56%
2021-03-01,1127.17,"1,124.89","1,145.60","1,102.06",,0.29%
2021-04-01,1117.16,"1,127.96","1,133.82","1,105.30",,-0.89%
2021-05-01,1106.58,"1,117.76","1,139.79","1,106.50",,-0.95%
2021-06-01,1130.48,"1,108.08","1,139.47","1,104.69",,2.16%
2021-07-01,1151.41,"1,130.63","1,159.96","1,128.00",,1.85%
2021-08-01,1158.73,"1,151.90","1,184.85","1,139.91",,0.64%
2021-09-01,1184.23,"1,158.95","1,192.41","1,152.54",,2.20%
2021-10-01,1174.47,"1,184.78","1,200.90","1,163.75",,-0.82%
2021-11-01,1182.71,"1,174.61","1,196.56","1,173.18",,0.70%
2021-12-01,1187.96,"1,182.84","1,193.81","1,172.62",,0.44%
2022-01-01,1204.63,"1,189.80","1,213.86","1,184.04",,1.40%
2022-02-01,1200.12,"1,204.75","1,211.47","1,189.64",,-0.37%
2022-03-01,1214.17,"1,201.18","1,247.35","1,197.68",,1.17%
2022-04-01,1263.03,"1,215.13","1,276.56","1,210.31",,4.02%
